BOTTLE,20001102WHPSIOJJW
#code : jjward hyd_to_exchange.pl V1.0
#original files copied from HTML directory: 2000.09.25
#original HYD file: a03hy.txt   Fri Oct 27 14:26:11 2000
#original SUM file: a03su.txt   Mon Sep 25 14:38:01 2000
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRIT,NITRIT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PHSPHT,PHSPHT_FLAG_W
,,,,,,,,,,,,DBAR,IPTS-68,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,
      RUCT40_1,   A03,     6,  1,      6,      6,2,19930924,0419, 36.5383,  -8.7383, 1567,   1145.0,  12.4069,  36.6104,2,  36.6062,2,    193.2,2,     8.43,2,  -999.00,5,    12.33,2,     0.72,2
      RUCT40_1,   A03,     6,  1,      5,      5,2,19930924,0419, 36.5383,  -8.7383, 1567,   1243.1,  12.3908,  36.6220,3,  36.6146,2,    194.9,2,     8.51,2,  -999.00,5,    12.48,2,     0.73,2
      RUCT40_1,   A03,     6,  1,      4,      4,2,19930924,0419, 36.5383,  -8.7383, 1567,   1343.0,  12.3214,  36.6484,3,  36.6402,2,    193.1,2,     8.67,2,  -999.00,5,    12.60,2,     0.76,2
      RUCT40_1,   A03,     6,  1,      3,      2,2,19930924,0419, 36.5383,  -8.7383, 1567,   1441.6,  12.3308,  36.6674,2,  36.6634,2,    192.7,2,     8.66,2,  -999.00,5,    12.56,2,     0.75,2
      RUCT40_1,   A03,     6,  1,      2,      3,2,19930924,0419, 36.5383,  -8.7383, 1567,   1492.7,  11.9943,  36.6149,3,  36.6028,2,    195.7,2,     9.23,2,  -999.00,5,    13.04,2,     0.79,2
      RUCT40_1,   A03,     6,  1,      1,      1,2,19930924,0419, 36.5383,  -8.7383, 1567,   1543.1,  10.0774,  36.2117,2,  36.2337,2,    202.2,3,    11.82,3,  -999.00,5,    14.86,3,     0.93,3
      RUCT40_1,   A03,     7,  1,     24,     24,2,19930924,0710, 36.4247,  -8.7913, 2349,      3.2,  20.6844,  36.6150,2,  36.6183,2,    230.6,2,     1.46,2,     0.03,2,     0.05,2,     0.29,4
      RUCT40_1,   A03,     7,  1,     23,     23,2,19930924,0710, 36.4247,  -8.7913, 2349,     52.6,  17.7953,  36.4525,2,  36.4542,2,    252.4,2,     1.71,2,     0.02,2,     0.06,2,     0.05,2
      RUCT40_1,   A03,     7,  1,     22,     22,2,19930924,0710, 36.4247,  -8.7913, 2349,    151.8,  15.8602,  36.3217,2,  36.3241,2,    216.7,2,     3.16,2,     0.04,2,     2.89,2,     0.34,2
      RUCT40_1,   A03,     7,  1,     21,     21,2,19930924,0710, 36.4247,  -8.7913, 2349,    251.3,  14.2833,  36.0435,2,  36.0455,2,   -999.0,5,     4.46,2,     0.02,2,     6.37,2,     0.57,2
